"ServiceTreeId","RTOId","BuildNumber","VirtualEnvironment","DeploymentTemplate","BranchInformation","PreciseTimeStamp"
"14686c37-6854-4050-baa7-3d0cd3688a36","80755293","19.3.27.0","NSM_ConfigPush_FF_UseNonOpaphModeIfAnyTenantInSameVnetIsNonOpaph_False","ConfigPush.xml","git_networking_nsm_master","2024-07-24T13:11:58.0510225Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80791583","19.4.18.0","NSM_ConfigPush_Pilot_0718","ConfigPush.xml","git_networking_nsm_master","2024-07-24T13:13:12.7530272Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80791430","19.4.36.0","NSM_Metering_Canary","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T13:13:57.1979808Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80782912","19.4.35.0","NSM_Metering_Pilot","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T13:14:25.1071382Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80790383","19.4.46.0","NSM_ConfigPush_Canary_BackendVlanNSMIPRangeEndAddress_BackendVlanNSMMacRangeEndAddress_EnableMerlinHostProgrammingForInfinibandWorkflowCX3AdapterTypeOnly","ConfigPush.xml","git_networking_nsm_master","2024-07-24T13:12:51.6981371Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788570","19.4.35.0","NSM_Metering_Mooncake","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T13:11:50.2989506Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788547","19.4.35.0","NSM_Metering_Fairfax","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T13:09:00.0834406Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80782853","19.4.18.0","NSM_ConfigPush_Pilot_0711","ConfigPush.xml","git_networking_nsm_master","2024-07-24T13:12:23.5803547Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80766749","19.4.18.0","NSM_ConfigPush_Pilot_NetworkBandwidthPolicy","ConfigPush.xml","git_networking_nsm_master","2024-07-24T13:15:08.7364885Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788668","19.4.18.0","NSM_ConfigPush_Prod_0711","ConfigPush.xml","git_networking_nsm_master","2024-07-24T13:12:00.1654912Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80792965","19.4.56.0","NSM_Metering_Stage_STG01PrdApp06","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T13:13:02.7021979Z"
"728f4f00-05c6-405b-8752-24303b1f6f60","80702788","3.301.7.57","NMAgent_Broad_LKG_3.301.7.57_Storage","nm_E2E_HostPluginUpgradeFDHENoRootHEPreCheckNoSettings.xml","git_networking_nmagent_release_3_301_7_56_dhcp_qfe","2024-07-24T13:15:39.5122549Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788548","19.4.35.0","NSM_Metering_Prod","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T13:15:32.8837451Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80793968","19.5.4.0","NSM_ConfigPush_Canary_EnableOnlyReconnectMadariUpdatedAndFailedEndpoint_EnableSecureNsmEndpoints_True","ConfigPush.xml","git_networking_nsm_master","2024-07-24T12:52:06.7016926Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80790383","19.4.46.0","NSM_ConfigPush_Canary_BackendVlanNSMIPRangeEndAddress_BackendVlanNSMMacRangeEndAddress_EnableMerlinHostProgrammingForInfinibandWorkflowCX3AdapterTypeOnly","ConfigPush.xml","git_networking_nsm_master","2024-07-24T12:18:43.1611942Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80791430","19.4.36.0","NSM_Metering_Canary","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T12:18:10.7323125Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80791583","19.4.18.0","NSM_ConfigPush_Pilot_0718","ConfigPush.xml","git_networking_nsm_master","2024-07-24T12:12:49.2580157Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788668","19.4.18.0","NSM_ConfigPush_Prod_0711","ConfigPush.xml","git_networking_nsm_master","2024-07-24T12:16:14.4879260Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80755293","19.3.27.0","NSM_ConfigPush_FF_UseNonOpaphModeIfAnyTenantInSameVnetIsNonOpaph_False","ConfigPush.xml","git_networking_nsm_master","2024-07-24T12:11:22.3024478Z"
"728f4f00-05c6-405b-8752-24303b1f6f60","80702788","3.301.7.57","NMAgent_Broad_LKG_3.301.7.57_Storage","nm_E2E_HostPluginUpgradeFDHENoRootHEPreCheckNoSettings.xml","git_networking_nmagent_release_3_301_7_56_dhcp_qfe","2024-07-24T12:14:45.2503192Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788547","19.4.35.0","NSM_Metering_Fairfax","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T12:15:42.0016109Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80782853","19.4.18.0","NSM_ConfigPush_Pilot_0711","ConfigPush.xml","git_networking_nsm_master","2024-07-24T12:15:52.2138117Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788548","19.4.35.0","NSM_Metering_Prod","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T12:17:01.3888255Z"
"14686c37-6854-4050-baa7-3d0cd3688a36","80788570","19.4.35.0","NSM_Metering_Mooncake","IPAM_ASR_Component_Update.xml","git_networking_nsm_master","2024-07-24T12:17:02.6610645Z"
